"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Bob Usher","3B","1","","","2","1","0","","","0","","","","","","","","","1.000","0","1013303"
"Mike Vail","RF","5","2","24.0","3","1","0","","","0","","","","","","","","","1.000","0","1013309"
"Dave Van Gorder","1B","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1013356"
"Farmer Vaughn","1B","229","","","2129","114","45","","","131","","","","","","","","",".980","0","1013381"
"Farmer Vaughn","2B","1","","","2","0","0","","","0","","","","","","","","","1.000","0","1013381"
"Farmer Vaughn","3B","7","","","6","15","2","","","2","","","","","","","","",".913","0","1013381"
"Fritz Von Kolnitz","1B","4","","","2","0","0","","","1","","","","","","","","","1.000","0","1013453"
"Fritz Von Kolnitz","C","4","","","3","2","2","","","0","","","","","","","0","",".714","0","1013453"
"Fritz Von Kolnitz","SS","6","","","3","1","1","","","0","","","","","","","","",".800","0","1013453"
"Joe Wagner","3B","2","","","3","1","0","","","0","","","","","","","","","1.000","0","1013486"
"Harry Walker","1B","1","","","0","0","0","","","0","","","","","","","","",".000","0","1013521"
"Hub Walker","1B","1","","","3","0","0","","","0","","","","","","","","","1.000","0","1013522"
"Hub Walker","2B","3","","","2","0","0","","","0","","","","","","","","","1.000","0","1013522"
"Hub Walker","C","1","","","1","0","0","","","0","","","","","","","0","","1.000","0","1013522"
"Lee Walls","1B","2","1","12.0","9","0","0","","","1","","","","","","","","","1.000","0","1013563"
"Ken Walters","1B","1","1","6.0","8","0","0","","","0","","","","","","","","","1.000","0","1013588"
"Ken Walters","LF","11","7","68.0","14","0","1","","","0","","","","","","","","",".933","0","1013588"
"Jay Ward","1B","1","0","2.0","2","0","0","","","1","","","","","","","","","1.000","0","1013613"
"Jay Ward","2B","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1013613"
"Jay Ward","3B","2","0","4.0","2","1","0","","","0","","","","","","","","","1.000","0","1013613"
"Piggy Ward","1B","1","","","2","0","0","","","0","","","","","","","","","1.000","0","1013622"
"Pat Watkins","LF","13","4","49.0","16","0","1","","","0","","","","","","","","",".941","0","1013672"
"Pete Whisenant","2B","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1013844"
"Pete Whisenant","3B","1","0","2.0","0","1","0","","","0","","","","","","","","","1.000","0","1013844"
"Pete Whisenant","C","1","0","1.0","0","1","1","","","0","","","","","0","0","0","0",".500","0","1013844"
"Jack White","SS","2","","","0","0","0","","","0","","","","","","","","",".000","0","1013879"
"Fred Whitfield","1B","55","39","335.0","342","29","7","","","33","","","","","","","","",".982","0","1013898"
"Bill Whitrock","3B","1","","","2","3","2","","","0","","","","","","","","",".714","0","1013910"
"Dallas Williams","LF","6","4","37.0","10","0","0","","","0","","","","","","","","","1.000","0","1013986"
"Woody Williams","3B","7","","","1","6","2","","","1","","","","","","","","",".778","0","1014045"
"Jimmie Wilson","C","17","","","46","10","1","","","0","","","","","","","1","",".983","0","1014088"
"Ivey Wingo","1B","1","","","5","0","0","","","0","","","","","","","","","1.000","0","1014133"
"Ivey Wingo","2B","2","","","2","2","0","","","0","","","","","","","","","1.000","0","1014133"
"Ray Wolf","1B","1","","","3","0","0","","","0","","","","","","","","","1.000","0","1014197"
"Bob Wood","1B","2","","","12","0","0","","","2","","","","","","","","","1.000","0","1014211"
"Jake Wood","RF","2","2","17.0","3","0","0","","","0","","","","","","","","","1.000","0","1014220"
"Sam Woodruff","3B","78","","","103","144","18","","","7","","","","","","","","",".932","0","1014233"
"Woody Woodward","1B","3","0","5.0","6","0","0","","","1","","","","","","","","","1.000","0","1014250"
"Craig Worthington","1B","4","3","28.0","24","2","0","","","3","","","","","","","","","1.000","0","1014261"
"Craig Worthington","3B","2","0","5.0","2","2","0","","","0","","","","","","","","","1.000","0","1014261"
"Jimmy Woulfe","3B","1","","","0","1","1","","","0","","","","","","","","",".500","0","1014267"
"Rick Wrona","1B","1","0","1.0","2","0","0","","","0","","","","","","","","","1.000","0","1014299"
"Johnny Wyrostek","1B","5","","","28","2","0","","","5","","","","","","","","","1.000","0","1014314"
"Joel Youngblood","2B","1","0","0.1","0","0","0","","","0","","","","","","","","",".000","0","1014383"
"Joel Youngblood","C","1","0","1.0","0","0","0","","","0","","","","","0","0","0","1",".000","0","1014383"
"Pep Young","3B","3","","","5","7","1","","","1","","","","","","","","",".923","0","1014387"
"Benny Zientara","SS","2","","","2","3","0","","","0","","","","","","","","","1.000","0","1014438"
"Don Zimmer","SS","1","0","1.0","0","0","0","","","0","","","","","","","","",".000","0","1014442"
"Billy Zitzmann","3B","4","","","2","6","2","","","0","","","","","","","","",".800","0","1014456"
"Brook Fordyce","C","88","70","597.2","468","32","10","","","4","","","","","59","23","2","23",".980","-1","138"
"Paul Konerko","3B","9","9","74.0","2","18","0","","","0","","","","","","","","","1.000","-1","242"
"Paul Konerko","LF","7","4","36.0","8","0","0","","","0","","","","","","","","","1.000","-1","242"
"Chris Stynes","RF","22","12","111.2","18","1","0","","","1","","","","","","","","","1.000","-1","303"
"Aaron Boone","2B","21","19","166.1","43","63","1","0","0","11","2","9","3","","","","","",".991","-1","311"
"Adam Dunn","LF","940","907","7810.2","1662","45","55","45","10","0","7","0","0","","","","","",".969","-1","319"
"Damian Jackson","2B","3","2","17.0","7","7","1","","","1","","","","","","","","",".933","-1","471"
"Dmitri Young","LF","311","287","2370.2","487","16","21","","","2","","","","","","","","",".960","-1","505"
"Donnie Sadler","CF","2","1","12.0","2","0","0","","","0","","","","","","","","","1.000","-1","627"
"Donnie Sadler","LF","6","2","26.2","3","1","1","","","0","","","","","","","","",".800","-1","627"
"Reggie Sanders","CF","194","177","1478.2","434","11","13","","","3","","","","","","","","",".972","-1","1129"
"Chad Mottola","CF","1","1","6.0","0","0","0","","","0","","","","","","","","",".000","-1","1315"
"Chad Mottola","RF","30","22","188.2","42","2","0","","","0","","","","","","","","","1.000","-1","1315"
"Lenny Harris","SS","17","4","71.0","11","32","8","","","3","","","","","","","","",".843","-1","1394"
"Brady Clark","CF","10","5","53.0","13","0","1","0","1","0","0","0","0","","","","","",".929","-1","1398"
"Tony Tarasco","RF","2","1","10.0","1","0","0","","","0","","","","","","","","","1.000","-1","1486"
"Ruben Rivera","LF","10","5","53.0","7","1","0","","","0","","","","","","","","","1.000","-1","1550"
"Joe Adcock","1B","41","","","286","14","2","","","20","","","","","","","","",".993","-1","1000067"
"Nick Allen","C","79","","","248","96","16","","","14","","","","","","","9","",".956","-1","1000155"
"Rogelio Alvarez","1B","15","8","84.0","90","4","2","","","9","","","","","","","","",".979","-1","1000199"
"Harry Anderson","RF","2","1","12.0","1","0","0","","","0","","","","","","","","","1.000","-1","1000230"
"Rick Auerbach","3B","24","10","133.0","4","30","3","","","2","","","","","","","","",".919","-1","1000362"
"Bob Bailey","3B","10","5","54.1","4","12","2","","","1","","","","","","","","",".889","-1","1000420"
"Kid Baldwin","3B","15","","","6","20","10","","","0","","","","","","","","",".722","-1","1000482"
"Kid Baldwin","C","332","","","1573","520","248","","","39","","","","","","","282","",".894","-1","1000482"
"German Barranca","2B","6","3","32.0","5","9","3","","","1","","","","","","","","",".824","-1","1000587"
"Billy Bates","2B","1","1","9.0","0","1","0","","","0","","","","","","","","","1.000","-1","1000654"
"Jim Beauchamp","1B","4","4","34.0","35","3","1","","","3","","","","","","","","",".974","-1","1000732"
"Clyde Beck","SS","6","","","7","3","1","","","0","","","","","","","","",".909","-1","1000739"
"Marty Berghammer","SS","87","","","130","206","34","","","20","","","","","","","","",".908","-1","1000877"
"Damon Berryhill","C","29","21","208.1","152","12","2","","","1","","","","","16","6","1","11",".988","-1","1000904"
"Steve Bilko","1B","21","21","174.0","172","11","1","","","19","","","","","","","","",".995","-1","1000966"
"Earl Blackburn","C","13","","","34","9","7","","","1","","","","","","","0","",".860","-1","1001011"
"Jimmy Bloodworth","2B","96","","","236","239","9","","","56","","","","","","","","",".981","-1","1001084"
"Jimmy Bloodworth","3B","8","","","10","10","1","","","0","","","","","","","","",".952","-1","1001084"
"Jack Boyle","C","1","","","8","2","3","","","0","","","","","","","2","",".769","-1","1001289"
