"Name","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Ken Raffensberger","89","99","7","250","205","1490.0","3.09","1.84","0.94",".269","71.9 %","","","3.64","3.84","","20.9","1010646"
"Bob Purkey","103","76","3","244","217","1588.0","3.60","1.97","0.88",".264","72.6 %","","","3.49","3.78","","20.2","1010572"
"Rube Benton","84","91","11","265","178","1504.2","3.67","3.00","0.16",".289","65.9 %","","","3.28","3.17","","17.1","1000857"
"Tom Browning","123","88","0","300","298","1911.0","4.70","2.38","1.10",".270","72.9 %","","","3.92","4.20","","17.0","1001566"
"Bronson Arroyo","108","100","0","279","279","1761.1","5.91","2.31","1.41",".279","74.8 %","40.5 %","12.3 %","4.18","4.70","4.37","16.3","978"
"Jakie May","55","63","16","251","112","1030.1","4.65","2.96","0.24",".313","66.9 %","","","3.99","3.52","","15.3","1008301"
"Don Gullett","91","44","11","236","156","1187.0","5.89","3.12","0.74",".256","76.7 %","","","3.03","3.37","","15.0","1005134"
"Tom Seaver","75","46","0","158","158","1085.2","6.06","2.96","0.85",".252","75.1 %","","","3.18","3.56","","15.0","1011708"
"Homer Bailey","66","63","0","192","192","1124.0","7.41","2.99","1.04",".304","70.8 %","44.7 %","11.3 %","4.42","4.08","3.98","14.4","8362"
"George Suggs","62","56","8","149","117","1028.2","3.14","1.91","0.18",".287","67.2 %","","","3.03","2.84","","14.0","1012673"
"Bill Phillips","69","67","3","166","142","1213.2","2.59","2.48","0.18",".302","58.6 %","","","3.86","3.42","","13.9","1010282"
"Rob Dibble","26","23","88","354","0","450.2","12.36","3.83","0.50",".294","76.6 %","","","2.74","2.13","","13.9","1003269"
"John Smiley","48","48","0","125","123","775.1","6.51","2.23","0.94",".302","68.6 %","","","4.16","3.84","","13.6","1012084"
"Fred Norman","85","64","1","231","196","1315.0","5.91","3.63","0.87",".263","75.3 %","","","3.43","3.82","","13.3","1009632"
"Elmer Smith","69","50","0","131","123","1072.1","3.98","3.05","0.15",".282","56.2 %","","","3.31","3.38","","13.0","1012134"
"Ted Breitenstein","66","45","0","129","120","1039.0","2.29","3.15","0.10",".287","62.8 %","","","3.56","3.66","","12.7","1001383"
"Joey Jay","75","63","4","186","150","1102.2","5.78","3.16","0.95",".274","73.6 %","","","3.80","3.76","","12.7","1006373"
"Fred Toney","61","49","6","141","122","999.0","3.68","2.33","0.13",".255","72.6 %","","","2.18","2.49","","12.4","1013116"
"Will White","136","69","0","208","207","1832.1","2.29","1.59","0.22",".259","61.7 %","","","2.51","3.41","","11.9","1013897"
"Art Fowler","37","31","3","164","87","700.2","4.08","2.66","0.85",".288","68.9 %","","","4.24","3.62","","11.9","1004268"
"Aroldis Chapman","19","20","146","324","0","319.0","15.40","4.37","0.48",".283","81.9 %","41.5 %","8.1 %","2.17","1.97","2.18","11.4","10233"
"Frank Pastore","45","57","4","187","138","937.0","5.02","2.66","0.73",".291","67.8 %","","","4.30","3.59","","11.4","1010048"
"Jack Billingham","87","63","2","215","190","1270.0","4.44","2.96","0.77",".283","72.1 %","","","3.85","3.80","","11.3","1000970"
"Carl Mays","49","34","4","116","81","703.1","2.02","1.71","0.13",".278","66.8 %","","","3.26","3.33","","10.9","1008313"
"Howie Fox","40","63","4","197","121","972.2","2.77","3.47","0.56",".278","66.0 %","","","4.33","3.95","","10.8","1004278"
"Si Johnson","46","86","6","235","142","1159.0","3.25","2.83","0.43",".287","62.6 %","","","4.28","3.96","","10.7","1006502"
"Bruce Berenyi","32","47","0","106","102","613.1","7.13","4.99","0.31",".303","69.8 %","","","3.96","3.25","","10.6","1000864"
"Jesse Duryea","51","45","1","105","97","820.0","3.68","2.61","0.30",".281","57.7 %","","","3.03","3.44","","10.3","1003599"
"Hod Eller","60","40","5","160","88","863.0","3.97","2.22","0.20",".272","71.7 %","","","2.62","2.68","","9.9","1003729"
"Benny Frey","57","80","8","254","127","1157.0","1.39","2.03","0.42",".299","63.3 %","","","4.48","4.17","","9.8","1004342"
"Mike Leake","62","47","0","168","163","1028.1","6.14","2.28","1.10",".290","74.6 %","50.1 %","13.6 %","3.87","4.18","3.78","9.7","10130"
"Mat Latos","33","16","0","81","81","522.1","7.68","2.55","0.83",".280","74.5 %","43.8 %","8.9 %","3.31","3.51","3.74","9.6","3815"
"Brooks Lawrence","51","48","20","194","99","786.0","4.09","2.92","0.94",".271","70.5 %","","","4.06","3.94","","9.5","1007398"
"Elton Chamberlain","45","44","0","109","98","825.0","3.11","4.07","0.23",".291","58.1 %","","","4.00","4.07","","9.1","1002122"
"Ray Kolp","47","65","17","255","109","1083.2","2.23","2.14","0.51",".287","67.2 %","","","3.85","4.07","","9.1","1007088"
"Tom Parrott","38","44","4","104","84","726.0","1.87","3.37","0.35",".329","53.7 %","","","5.23","4.95","","8.6","1010025"
"Lee Viau","56","39","1","102","94","850.2","3.78","3.02","0.24",".277","57.3 %","","","3.34","3.39","","8.3","1013420"
"Art Fromme","49","50","2","138","109","888.2","3.92","3.32","0.20",".261","68.7 %","","","2.74","3.11","","8.2","1004375"
"Pete Schneider","59","85","4","200","158","1245.0","3.44","3.44","0.11",".275","70.0 %","","","2.65","2.94","","8.1","1011597"
